name,osclevela,osclevelb,pinknoiselevel,whitenoiselevel,unisonmode,oscfx,detune,lfosyncfreq,lfotempovalue, KeytrackingAmount,glideSpeed,oscPitchA,oscPitchB,WaveformA,WaveformB,PwmSource,PwmAmtA,PwmAmtB,PwmRate,PwA,PwB,Resonance,Cutoff,FilterMixer,FilterEnvelope,PitchLfoAmount,PitchLfoRate,PitchLfoWaveform,PitchLfoRetrig,PitchLfoMidiClockSync,FilterLfoRate,FilterLfoRetrig,FilterLfoMidiClockSync,FilterLfoAmt,FilterLfoWaveform,FilterAttack,FilterDecay,FilterSustain,FilterRelease,AmpAttack,AmpDecay,AmpSustain,AmpRelease,EffectAmount,EffectMix,PitchEnvelope,velocitySens,chordDetune,MonophonicMode,0,0
Chord Stab,1.00,1.00,0.01,2,0,0.97,1.00,0.00,1.00,0.47,0.00,12,-12,12,12,0,0.83,0.70,0.16,0.00,0.00,1.10,68.00,0.00,1.00,0.00,7.24,0,0,0,10.48,0,0,0.00,1,1.00,241.00,0.06,1864.00,41.00,808.00,0.92,209.00,5.60,0.88,0.00,0,86,0.00,0.00,0.00
UFO,1.00,0.35,0.00,2,0,0.94,1.00,0.00,1.00,0.50,0.00,-24,24,3,9,0,1.00,0.93,0.00,0.00,0.00,8.23,9643.00,0.00,0.80,0.00,40.00,0,0,0,0.42,0,0,0.00,0,1.00,418.00,0.06,808.00,41.00,374.00,0.98,565.00,1.20,0.87,-0.02,0,127,0.00,0.00,0.00
Tension,1.00,1.00,0.00,1,0,0.97,1.00,0.00,1.00,0.50,0.00,-24,-12,8,8,1,1.00,1.00,-5.00,0.00,0.00,1.78,109.00,0.00,0.58,0.00,5.72,0,0,0,6.72,0,0,0.00,1,1.00,1994.00,0.06,1502.00,1.00,621.00,0.98,440.00,14.80,0.00,0.00,4,83,0.00,0.00,0.00
Hook Bass,0.94,1.00,0.00,1,0,1.00,1.00,0.00,1.00,0.69,0.00,-24,-24,8,8,1,0.98,0.99,-5.00,0.00,0.00,1.10,6056.00,0.00,1.00,0.00,7.52,7,0,0,14.32,0,0,0.00,3,1.00,843.00,0.36,1031.00,1.00,621.00,0.52,440.00,10.80,0.87,0.00,3,36,0.00,0.00,0.00
E Piano,0.98,1.00,0.00,0,0,1.00,1.00,0.00,1.00,0.88,0.00,24,12,12,12,0,0.96,0.91,0.39,0.00,0.00,2.28,20.00,0.00,0.87,0.00,11.12,0,0,0,0.02,0,0,0.00,0,1.00,774.00,0.86,1558.00,1.00,621.00,0.52,418.00,6.00,0.35,0.00,4,35,0.00,0.00,0.00
Jap Ghosts,1.00,0.00,0.00,0,2,1.00,1.00,0.00,1.00,0.00,0.00,12,12,103,11,0,1.00,0.00,0.00,0.00,0.00,1.13,4099.00,0.00,-0.00,0.00,9.52,7,0,0,4.80,0,0,0.09,0,1.00,1614.00,0.24,1.00,1.00,565.00,0.30,1396.00,10.40,0.66,0.00,4,14,0.00,0.00,0.00
Expensive,1.00,1.00,0.00,1,0,0.98,1.00,0.00,0.33,0.50,0.00,-24,-24,12,12,1,1.00,0.97,-5.00,0.00,0.00,4.74,50.00,0.00,0.90,0.00,1.68,0,0,0,1.80,0,0,0.03,6,1994.00,1676.00,0.95,4708.00,1.00,1448.00,1.00,5888.00,12.10,0.68,0.00,0,0,0.00,0.00,0.00
New Dawn,0.80,1.00,0.00,0,2,1.00000,1.00,0.00,1.00,0.00,0.00000,12,12,104,12,0,0.76,1.00,0.22,0.00,1.00,1.10,12000.00,0.00,-0.00,0.00000,5.04000,0,0,0,1.44000,0,0,0.09,0,1.00,1614.00,0.24,1.00,14.00,565.00,1.00,1396.00,8.00,0.59,0.00,4,0,1,0.00,0.00
Power Brass,1.00,1.00,0.00,1,0,0.99,1.00,0.00,1.00,0.53,0.00,-12,-24,8,8,1,1.00,1.00,-5.00,0.00,0.00,1.93,9226.00,0.00,0.69,0.00,3.04,0,1,0,0.56,0,0,0.00,0,111.00,1614.00,1.00,224.00,41.00,1676.00,1.00,374.00,3.40,0.68,0.00,0,52,0.00,0.00,0.00
Simply,1.00,1.00,0.00,0,0,1.00,1.00,0.00,1.00,0.50,0.00,12,24,11,11,0,0.63,0.57,0.27,0.00,0.00,1.14,39.00,0.00,0.78,0.00,0.00,0,0,0,8.92,0,0,0.00,6,1.00,99.00,0.00,258.00,1.00,58.00,0.00,67.00,11.20,0.00,0.00,2,0,0.00,0.00,0.00
Classic,1.00,0.98,0.00,0,0,0.99142,1.00,0.00,1.00,1.00,0.00000,0,-24,9,9,0,0.93,0.96,0.00,0.00,0.92,1.10,119.00,0.00,0.92,0.00000,4.60000,0,0,0,0.42000,0,0,0.02,0,374.00,99.00,0.02,2.00,1.00,374.00,1.00,2525.00,1.20,0.57,0.00,0,48,0,0.00,0.00
Kraft Drum,1.00,0.00,-1.00,1,1,1.00,1.00,0.00,1.00,1.00,0.00,-24,-24,19,19,0,1.00,0.93,0.56,0.00,0.00,15.00,61.00,-99.00,1.00,0.00,17.48,0,0,0,0.00,0,0,0.00,0,1.00,1.00,0.00,67.00,1.00,78.00,0.00,2.00,0.20,0.25,-0.27,4,0,0.00,0.00,0.00
